7,9,2,11
4,12,8,14
3,9,11,0
9,2,11,14
12,1,8,10
7,6,13,10
7,5,13,10
6,5,13,0
4,12,1,14
3,2,11,0
4,6,5,13
3,9,2,0
4,1,8,14
7,6,5,10
3,12,1,8
3,12,6,1
2,12,0,6
7,8,11,1
12,0,6,13
5,9,10,13
4,9,10,14
3,12,0,1
2,8,11,14
2,7,11,14
5,4,10,13
5,4,9,13
2,7,8,14
3,0,6,1
3,4,9,10
5,7,8,11
12,6,10,5
4,7,2,8
1,4,7,5
9,11,14,8
1,7,2,5
0,4,7,2
0,12,10,13
1,4,2,5
1,11,14,3
11,14,3,13
0,12,6,13
9,14,3,8
0,6,10,13
9,12,6,10
9,11,3,8
4,13,3,11
4,12,7,9
5,10,14,8
5,13,11,0
12,7,1,0
13,3,11,2
10,14,8,9
4,12,1,9
6,10,14,2
6,12,7,1
6,14,8,2
5,13,3,0
4,7,1,9
5,3,11,0
6,10,8,2
4,13,3,11
4,12,7,9
5,10,14,8
5,13,11,0
12,7,1,0
13,3,11,2
10,14,8,9
4,12,1,9
6,10,14,2
6,12,7,1
6,14,8,2
5,13,3,0
4,7,1,9
5,3,11,0
6,10,8,2
7,9,2,11
4,12,8,14
3,9,11,0
9,2,11,14
12,1,8,10
7,6,13,10
7,5,13,10
6,5,13,0
4,12,1,14
3,2,11,0
4,6,5,13
3,9,2,0
4,1,8,14
7,6,5,10
3,12,1,8
3,12,6,1
2,12,0,6
7,8,11,1
12,0,6,13
5,9,10,13
4,9,10,14
3,12,0,1
2,8,11,14
2,7,11,14
5,4,10,13
5,4,9,13
2,7,8,14
3,0,6,1
3,4,9,10
5,7,8,11
12,6,10,5
4,7,2,8
1,4,7,5
9,11,14,8
1,7,2,5
0,4,7,2
0,12,10,13
1,4,2,5
1,11,14,3
11,14,3,13
0,12,6,13
9,14,3,8
0,6,10,13
9,12,6,10
9,11,3,8
4,13,3,11
4,12,7,9
5,10,14,8
5,13,11,0
12,7,1,0
13,3,11,2
10,14,8,9
4,12,1,9
6,10,14,2
6,12,7,1
6,14,8,2
5,13,3,0
4,7,1,9
5,3,11,0
6,10,8,2
7,9,2,11
4,12,8,14
3,9,11,0
9,2,11,14
12,1,8,10
7,6,13,10
7,5,13,10
6,5,13,0
4,12,1,14
3,2,11,0
4,6,5,13
3,9,2,0
4,1,8,14
7,6,5,10
3,12,1,8
3,12,6,1
2,12,0,6
7,8,11,1
12,0,6,13
5,9,10,13
4,9,10,14
3,12,0,1
2,8,11,14
2,7,11,14
5,4,10,13
5,4,9,13
2,7,8,14
3,0,6,1
3,4,9,10
5,7,8,11
12,6,10,5
4,7,2,8
1,4,7,5
9,11,14,8
1,7,2,5
0,4,7,2
0,12,10,13
1,4,2,5
1,11,14,3
11,14,3,13
0,12,6,13
9,14,3,8
0,6,10,13
9,12,6,10
9,11,3,8
4,13,3,11
4,12,7,9
5,10,14,8
5,13,11,0
12,7,1,0
13,3,11,2
10,14,8,9
4,12,1,9
6,10,14,2
6,12,7,1
6,14,8,2
5,13,3,0
4,7,1,9
5,3,11,0
6,10,8,2
4,13,3,11
4,12,7,9
5,10,14,8
5,13,11,0
12,7,1,0
13,3,11,2
10,14,8,9
4,12,1,9
6,10,14,2
6,12,7,1
6,14,8,2
5,13,3,0
4,7,1,9
5,3,11,0
6,10,8,2
7,9,2,11
4,12,8,14
3,9,11,0
9,2,11,14
12,1,8,10
7,6,13,10
7,5,13,10
6,5,13,0
4,12,1,14
3,2,11,0
4,6,5,13
3,9,2,0
4,1,8,14
7,6,5,10
3,12,1,8
